HOST_ID,APARTMENT,HOUSE,CABIN,CONDOMINIUM,CAMPERRV,BUNGALOW,TOWNHOUSE,BOAT,BED_BREAKFAST,DORM,TREEHOUSE,YURT,CHALET,TENT,LOFT,OTHER
956883,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5177328,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2497928,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4016632,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
239585,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19932967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25899989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22372266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9465817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25417834,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14100483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21401856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46675077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3792761,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6184895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40335071,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21896205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17597607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15155647,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33524725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46954097,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5326074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3587674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43954674,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4970133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24500821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28375755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19533935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5776729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19311504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27508753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2495385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53050379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2983711,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5325329,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25906186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8242272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27128936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2843411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79450,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34872403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32998581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16884006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28840161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19993125,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12036205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8739320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4855968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16708587,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4606439,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31037494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9031463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5856339,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6296335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21066328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7466082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034501,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7849723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407320,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
48604323,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452570,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13546801,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34363282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34392395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12867960,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3502513,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40885963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25150356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12171359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15473800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231298,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35674639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19296907,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15060417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39472587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19001873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20069008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34793330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129014,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46108145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11580391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179626,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15178583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287962,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21015753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2067157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19984963,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32052651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31366898,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8916363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430709,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39884676,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4933168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2704826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7053059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32713558,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18232665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28770702,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23228606,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2317654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19071753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33225983,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25171396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3681393,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24786046,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12483454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38669130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6428916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45781945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11358129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9423731,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238431,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9435135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24633415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23551180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17039361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12693172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23822173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6544973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31887689,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2882219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31684830,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9995182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6307839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24038354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27215994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27606550,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3521823,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23669617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3781927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52580911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9484588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26877490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6097842,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21072725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039322,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8403307,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29133654,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4807375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33367198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16687781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12503146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2237228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3979528,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5067360,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19477023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18413215,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35742272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3751963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3656709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4405122,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31148752,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4678869,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26498368,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7727480,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19756727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15543526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3991908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46243391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51433714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316200,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3787979,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21616710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21288637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6393323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47573170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23792018,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33944952,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2166277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53050,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25066447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12851001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15893988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9851441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6170760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33147763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2315558,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24709547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13535511,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15785670,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11850640,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12456569,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2840320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22414188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8612866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26032511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51860756,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15791829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10385963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17572659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300775,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44510434,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13566271,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39970532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9533123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224813,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121532,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17717833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23489864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6136210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20338511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022709,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3494510,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15655683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4122018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
36805437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9361239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15104715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39549545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5468952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7376011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5992456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17234030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46019955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7675473,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34994802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7796684,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6885026,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22840181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29181914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7556974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23986021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17935405,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7319622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850689,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11238188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14898710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9838821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832888,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35246915,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032548,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9450725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6645401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23827582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45437387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243056,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10607280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33039203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414691,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10061445,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49432912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3267988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17961308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5098788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11236752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6680836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6883532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4873557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16533140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6668610,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6458694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5656763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798892,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11600938,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4255498,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26509491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6719697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46619432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3097100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24046804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14942,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20580823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7980977,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44340751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
