NEIGHBOURHOOD,ROOM_TYPE,AVG(A.PRICE),NUMBER_OF_AIRBNB
Alki,Entire home/apt,195.78947368,6935
Alki,Private room,200.75000000,1460
Arbor Heights,Entire home/apt,150.00000000,730
Arbor Heights,Private room,54.00000000,365
Atlantic,Private room,67.87500000,5840
Atlantic,Entire home/apt,139.05882353,12410
Ballard,Private room,67.93333333,27375
Ballard,Entire home/apt,153.87681159,50370
Belltown,Shared room,58.33333333,1095
Belltown,Entire home/apt,172.18750000,70080
Belltown,Private room,84.11111111,3285
Bitter Lake,Private room,75.55555556,3285
Bitter Lake,Entire home/apt,86.25000000,1460
Brighton,Entire home/apt,95.00000000,1095
Brighton,Shared room,40.00000000,365
Brighton,Private room,65.00000000,365
Broadview,Private room,64.66666667,2190
Broadview,Entire home/apt,125.80000000,3650
Broadway,Private room,75.00000000,365
Broadway,Entire home/apt,141.75000000,1460
Bryant,Private room,57.41666667,4380
Bryant,Entire home/apt,132.75000000,7300
Capitol Hill,Entire home/apt,145.34285714,89425
Capitol Hill,Private room,90.26190476,30660
Capitol Hill,Shared room,53.95454545,8030
Cedar Park,Entire home/apt,135.60000000,1825
Cedar Park,Private room,75.66666667,1095
Central Business District,Private room,152.75000000,1460
Central Business District,Shared room,52.50000000,730
Central Business District,Entire home/apt,167.28000000,27375
Columbia City,Entire home/apt,126.30769231,14235
Columbia City,Private room,63.18181818,8030
Crown Hill,Entire home/apt,99.62500000,2920
Crown Hill,Private room,65.76923077,4745
Dunlap,Shared room,67.50000000,730
Dunlap,Entire home/apt,103.50000000,1460
Dunlap,Private room,61.71428571,2555
Eastlake,Private room,84.30000000,3650
Eastlake,Entire home/apt,114.40000000,10950
Eastlake,Shared room,50.00000000,365
Fairmount Park,Entire home/apt,370.00000000,365
Fauntleroy,Private room,79.50000000,1460
Fauntleroy,Entire home/apt,220.50000000,2190
First Hill,Entire home/apt,146.23863636,32120
First Hill,Private room,97.08333333,4380
First Hill,Shared room,51.00000000,1825
Fremont,Private room,74.32500000,14600
Fremont,Shared room,53.33333333,1095
Fremont,Entire home/apt,154.29523810,38325
Gatewood,Entire home/apt,172.50000000,2920
Gatewood,Private room,82.80000000,3650
Genesee,Private room,62.00000000,4015
Genesee,Shared room,30.00000000,365
Genesee,Entire home/apt,178.00000000,6205
Georgetown,Private room,73.33333333,2190
Georgetown,Entire home/apt,99.00000000,365
Green Lake,Private room,68.50000000,5110
Green Lake,Entire home/apt,183.65789474,13870
Greenwood,Shared room,25.00000000,365
Greenwood,Entire home/apt,117.81395349,15695
Greenwood,Private room,73.57142857,12775
Haller Lake,Private room,65.25000000,1460
Haller Lake,Entire home/apt,130.30000000,3650
Harrison/Denny-Blaine,Entire home/apt,110.28571429,2555
Harrison/Denny-Blaine,Private room,113.50000000,2190
High Point,Private room,89.20000000,3650
High Point,Entire home/apt,99.00000000,365
Highland Park,Private room,77.83333333,2190
Highland Park,Entire home/apt,91.16666667,2190
Holly Park,Private room,52.00000000,1825
Holly Park,Entire home/apt,215.00000000,365
Industrial District,Private room,150.00000000,365
Industrial District,Entire home/apt,292.50000000,730
Interbay,Entire home/apt,123.50000000,1460
Interbay,Private room,73.33333333,1095
International District,Private room,85.33333333,2190
International District,Entire home/apt,134.00000000,3285
International District,Shared room,40.00000000,730
Laurelhurst,Entire home/apt,142.00000000,1825
Laurelhurst,Private room,68.50000000,1460
Leschi,Entire home/apt,186.64000000,9125
Leschi,Private room,69.57894737,6935
Licton Springs,Entire home/apt,124.66666667,1095
Licton Springs,Private room,75.44444444,3285
Lower Queen Anne,Entire home/apt,152.68656716,24455
Lower Queen Anne,Shared room,38.00000000,365
Lower Queen Anne,Private room,104.40000000,5475
Madison Park,Private room,106.66666667,1095
Madison Park,Shared room,30.00000000,365
Madison Park,Entire home/apt,162.75000000,4380
Madrona,Entire home/apt,184.48000000,9125
Madrona,Private room,77.33333333,5475
Magnolia,Entire home/apt,229.00000000,13505
Magnolia,Private room,67.05555556,6570
Maple Leaf,Shared room,34.00000000,1095
Maple Leaf,Private room,64.23529412,6205
Maple Leaf,Entire home/apt,102.95238095,7665
Mathews Beach,Entire home/apt,135.77777778,3285
Mathews Beach,Private room,65.50000000,2920
Meadowbrook,Private room,53.00000000,1460
Meadowbrook,Entire home/apt,135.20000000,1825
Minor,Shared room,55.00000000,1460
Minor,Private room,80.54166667,26280
Minor,Entire home/apt,163.77586207,42340
Montlake,Entire home/apt,262.33333333,4380
Montlake,Private room,82.14285714,2555
Mount Baker,Entire home/apt,120.68000000,9125
Mount Baker,Private room,64.42857143,7665
North Admiral,Private room,99.76470588,6205
North Admiral,Entire home/apt,177.83870968,11315
North Beach/Blue Ridge,Entire home/apt,145.22222222,3285
North Beach/Blue Ridge,Private room,80.00000000,730
