NEIGHBOURHOOD,AVG_PRICE,AVG_WEEKLY_PRICE,AVG_MONTHLY_PRICE
Fairmount Park,370.00,,
Industrial District,245.00,1100.00,2500.00
Portage Bay,241.43,1841.67,8700.00
Westlake,197.00,778.43,2075.00
Alki,196.65,1150.13,3394.09
Montlake,195.95,1007.56,4259.75
Magnolia,176.00,960.73,2858.62
Pike Place Market,175.51,1725.00,5559.90
Windermere,174.70,802.86,3008.33
Queen Anne,168.76,1027.15,3107.42
Belltown,166.63,1102.79,3843.16
Fauntleroy,164.10,876.25,3202.50
Central Business District,163.73,1143.31,4127.04
South Lake Union,154.14,1203.07,4262.83
Green Lake,152.65,982.61,3245.48
North Admiral,150.19,797.45,2626.85
Pioneer Square,145.79,942.40,2878.00
Madrona,144.30,787.55,2500.31
Madison Park,143.94,895.63,3145.63
View Ridge,143.83,885.00,3250.00
Lower Queen Anne,142.58,963.92,2883.05
Yesler Terrace,141.08,920.00,3340.00
Pinehurst,138.00,890.00,2945.00
First Hill,136.09,986.75,3070.10
Leschi,136.09,790.56,3053.00
North Beach/Blue Ridge,133.36,677.50,3500.00
Wallingford,131.34,776.51,2530.88
Fremont,130.64,799.33,2722.25
Minor,130.30,755.46,2421.87
Phinney Ridge,129.91,745.15,2348.10
Genesee,128.90,988.50,2993.14
Broadway,128.40,1216.67,3400.00
Capitol Hill,126.43,754.90,2507.70
Stevens,123.99,814.42,3035.07
Seaview,123.78,767.17,2308.00
Ballard,123.62,800.32,2603.65
Gatewood,122.67,787.09,2290.00
Arbor Heights,118.00,880.00,950.00
South Beacon Hill,117.50,,
,117.29,752.21,2527.51
Atlantic,116.28,699.69,2203.26
The Junction,113.28,717.91,2275.65
Cedar Park,113.13,680.57,1524.75
Harrison/Denny-Blaine,111.77,638.33,1712.50
Haller Lake,111.71,812.57,2582.17
Laurelhurst,109.33,966.67,3100.00
Ravenna,109.14,587.07,2049.85
Roosevelt,106.70,797.73,2652.50
Wedgewood,106.67,611.36,1884.40
International District,105.76,973.33,
Eastlake,105.49,706.09,2578.61
Bryant,104.50,669.95,2011.88
Columbia City,103.54,575.74,1733.38
Broadview,102.88,696.73,2143.57
Mathews Beach,102.71,731.00,2442.00
South Park,102.50,,
Interbay,102.00,856.25,2430.00
North College Park,99.00,,
Meadowbrook,98.67,663.75,2506.67
Seward Park,98.56,513.00,1563.41
Greenwood,97.04,572.96,2084.41
University District,95.42,589.83,1911.81
Mount Baker,95.00,637.52,2258.25
North Beacon Hill,92.65,610.82,2339.55
Pike Market,92.00,,
South Delridge,91.43,650.00,2276.25
High Point,90.09,636.50,1536.43
Licton Springs,87.75,339.50,2425.57
Highland Park,84.50,553.33,1625.00
Maple Leaf,81.85,501.54,1845.96
North Delridge,81.78,572.16,1841.14
Victory Heights,81.77,364.50,1047.83
Holly Park,79.17,583.33,1866.67
Bitter Lake,78.85,527.50,1821.29
Crown Hill,78.67,431.13,1694.73
Brighton,78.00,581.67,1825.00
Riverview,77.38,466.67,2183.33
Georgetown,77.00,471.60,1404.25
Rainier Beach,76.72,525.82,1920.75
Dunlap,75.46,487.44,2027.20
Olympic Hills,63.67,380.00,
Roxhill,60.00,350.00,1200.00
