ID,NAME,PRICE,NEIGHBOURHOOD,PRICE_CATEGORY
241032,Stylish Queen Anne Apartment,85.00,Queen Anne,NORMAL PRICE
953595,Bright & Airy Queen Anne Apartment,150.00,Queen Anne,NORMAL PRICE
3308979,New Modern House-Amazing water view,975.00,Queen Anne,HIGH PRICE
1909058,Queen Anne Private Bed and Bath,80.00,Queen Anne,NORMAL PRICE
856550,Tiny Garden cabin on Queen Anne,60.00,Queen Anne,NORMAL PRICE
2493658,Airy + Bright Queen Anne Apartment,150.00,Queen Anne,NORMAL PRICE
175576,Private Apartment - Queen Anne Hill,95.00,Queen Anne,NORMAL PRICE
4454295,Upper Queen Anne Craftsman House,99.00,Queen Anne,NORMAL PRICE
3883392,Open Plan 2bdr/1bath in Queen Anne,245.00,,HIGH PRICE
8889257,Elegance in Historic Queen Anne,165.00,Queen Anne,NORMAL PRICE
5680462,Stunning 6 bd in THE BEST Location!,461.00,Queen Anne,HIGH PRICE
8988178,"Lovely Queen Anne Cottage, 2 BR",109.00,,NORMAL PRICE
3245876,Park Life in Lower Queen Anne,66.00,Queen Anne,NORMAL PRICE
4933447,"Private Garden Suite, Bay View",99.00,Queen Anne,NORMAL PRICE
9218403,Queen Anne View One Bedroom,110.00,,NORMAL PRICE
4125779,Cozy Queen Anne Finished Basement,99.00,Queen Anne,NORMAL PRICE
8942678,Lovely Queen Anne home,450.00,Queen Anne,HIGH PRICE
3544550,VIEW-Monthly Rental Available,450.00,Queen Anne,HIGH PRICE
9025039,Cute Bungalow-Close to Everything!,150.00,Queen Anne,NORMAL PRICE
3200646,Micro Gypsy Wagon on Queen Anne,45.00,Queen Anne,NORMAL PRICE
8859380,STUNNING VIEW of Puget Sound,300.00,Queen Anne,HIGH PRICE
4520099,Open Airy Queen Anne Condo,80.00,Queen Anne,NORMAL PRICE
2481869,Airy + Bright Queen Anne Cottage,175.00,Queen Anne,NORMAL PRICE
1110749,Queen Anne 3 bed near everything,325.00,Queen Anne,NORMAL PRICE
5978498,1914 Stunner View Ocean Mountain,175.00,Queen Anne,NORMAL PRICE
5021081,Seattle Queen Anne Beauty,222.00,Queen Anne,NORMAL PRICE
1686930,The Hideaway- Queen Anne/downtown,159.00,Queen Anne,NORMAL PRICE
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,125.00,Queen Anne,NORMAL PRICE
5062445,Cozy Homebase Close to Downtown,45.00,Queen Anne,NORMAL PRICE
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,150.00,Queen Anne,NORMAL PRICE
6389657,Cute little Seattle Studio!,80.00,Queen Anne,NORMAL PRICE
4218733,Walker's Dream on Queen Anne Hill,110.00,Queen Anne,NORMAL PRICE
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",148.00,Queen Anne,NORMAL PRICE
7308567,Beautiful 1 Bedrm in Queen Anne,150.00,Queen Anne,NORMAL PRICE
6575380,One bedroom with Lounge,150.00,Queen Anne,NORMAL PRICE
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,100.00,Queen Anne,NORMAL PRICE
9550869,Queen Anne Craftsman,349.00,Queen Anne,HIGH PRICE
8515408,Queen Anne Hill Craftsman studio,110.00,Queen Anne,NORMAL PRICE
1112092,Seattle Backyard Cottage-Queen Anne,130.00,Queen Anne,NORMAL PRICE
7772661,:: Carriage House :: Queen Anne ::,99.00,Queen Anne,NORMAL PRICE
9254900,STUDIO APARTMENT WITH A VIEW,100.00,,NORMAL PRICE
9368342,"Beautiful, Modern Townhouse",150.00,Queen Anne,NORMAL PRICE
6361863,Located in the heart of Queen Anne,145.00,Queen Anne,NORMAL PRICE
8105221,Cozy room in Modern Queen Anne Home,80.00,Queen Anne,NORMAL PRICE
3269390,Stand alone Guest Cottage,95.00,Queen Anne,NORMAL PRICE
9282409,Bright & Airy room w/ $1M views,85.00,Queen Anne,NORMAL PRICE
2746782,Suite Garage on Queen Anne,90.00,Queen Anne,NORMAL PRICE
6424982,Peaceful Queen Anne Getaway,80.00,Queen Anne,NORMAL PRICE
762029,Hand crafted Gypsy Wagon with heart,60.00,Queen Anne,NORMAL PRICE
8988281,Cozy 2 BR/1 BA Queen Anne Home,175.00,Queen Anne,NORMAL PRICE
7077910,"Modern Townhouse, Heart of Ballard!",170.00,,NORMAL PRICE
3772674,Cozy Ballard Apartment,85.00,Ballard,NORMAL PRICE
7021906,Plum Modern - 5 bdrm Tranquility,465.00,Ballard,HIGH PRICE
7618605,1BR-Ultra Hip Ballard-Walk to Bars!,175.00,Ballard,HIGH PRICE
7680439,Urban cottage in heart of Ballard,59.00,Ballard,NORMAL PRICE
