ID,NAME,NEIGHBOURHOOD,REVIEW_SCORES_RATING,RNK
8194782,Seattle- Alki Beach Hideaway,Alki,100,1
3868844,Soundview Home,Alki,100,1
6002165,"New Kitchen (3Bed/2Ba), By Junction",Alki,100,1
9096972,"Mid-Century Retreat, Saltwater View",Alki,100,1
7349029,Alki Beach with Stunning Views,Alki,99,2
117165,Suite+Office in Gorgeous View Home,Alki,98,3
5252543,Quiet room near bus line + ferry,Arbor Heights,100,1
6278680,Cozy West Seattle Studio cottage,Arbor Heights,98,2
353347,VACATION HOUSE WEST SEATTLE,Arbor Heights,96,3
8389809,Artists home,Atlantic,100,1
7931386,Downtown Seattle Vacation Condo,Atlantic,100,1
4297068,Modern + Green 2BD Townhouse,Atlantic,100,1
9426058,"Modern Apartment, Downtown-2 miles",Atlantic,100,1
7241905,1 Bedroom Apt near Downtown Seattle,Atlantic,100,1
3691288,Centrally Located 3bd/2.5ba Home,Atlantic,100,1
6187340,Studio near stadiums and downtown,Atlantic,100,1
9370866,Giant One Bedroom in the CD,Atlantic,100,1
113951,Oasis in the City,Atlantic,100,1
4061207,Family friendly home near downtown,Atlantic,100,1
319768,Family Friendly Modern Seattle Home,Atlantic,100,1
5932882,Central Seattle Lodging House,Atlantic,100,1
7619060,Private Room/Bath in Modern Home #2,Atlantic,98,3
7664565,"Private Room/Bath, Downtown-2 miles",Atlantic,98,3
2387605,Private Room/Bath in Modern Home #1,Atlantic,98,3
281208,"Luxury, Location, Great For Family",Atlantic,98,3
1404307,Gorgeous cottage 5 min to downtown,Atlantic,99,2
4777832,Huge Industrial Live-Work Loft,Atlantic,99,2
7429207,Urban Farmhouse - Seattle Oasis,Atlantic,100,1
5463875,Seattle 1BD Condo - Great Location!,Atlantic,100,1
8350401,Central Seattle Room,Atlantic,100,1
8104742,Modern home in heart of Seattle,Atlantic,100,1
9587410,Cozy Ballard Craftsman /upper floor,Ballard,100,1
5364244,Loyal Heights Guest House,Ballard,98,3
3689119,A Garden Guest House,Ballard,98,3
3882930,Cozy Ballard-ish Bohemian Retreat,Ballard,98,3
8567933,Bright Ballard Charmer!,Ballard,98,3
1956274,Sweet Ballard Apartment for Two,Ballard,100,1
1589681,Ballard Cottage,Ballard,98,3
7731836,"Ballard One Bedroom, lots of light!",Ballard,100,1
4395578,Ballard Townhome - Pet Friendly!,Ballard,100,1
5632713,Ballard Backyard RV,Ballard,98,3
8866927,Ballard Backyard Bungalow,Ballard,100,1
6018416,Sunset Hill View Craftsman,Ballard,100,1
8097708,3BR Sunny Ballard House,Ballard,100,1
1364440,Ballard Mid-Century Apartment Room,Ballard,100,1
1777158,"Amazing View, Large Room in Ballard",Ballard,100,1
9138923,Sunny Garden Apartment,Ballard,100,1
9015088,Spacious condo with gorgeous views,Ballard,100,1
3053237,Ballard 1903 Modern Cottage,Ballard,99,2
5620306,Comfortable private bedroom & bath,Ballard,100,1
8524349,Ballard studio - 85 Walk Score!,Ballard,100,1
1856253,Modern Vintage Eclectic in Ballard,Ballard,100,1
7389248,Luxury Ballard Town Home,Ballard,100,1
2277640,Private Suite in Charming Ballard,Ballard,99,2
7089415,Available for Christmas-Ballard,Ballard,100,1
6153532,Industrial Chic Ensuite Cottage,Ballard,99,2
5308429,Entire Private Floor:Bed&Bath Suite,Ballard,99,2
9563749,Spacious room,Ballard,100,1
3861673,"Detached bedroom, bath in Ballard",Ballard,99,2
1789341,Modern Classic~Convenient~Priv Home,Ballard,99,2
4616634,Cozy Studio Apartment,Ballard,99,2
1623894,Ballard Backyard Cottage,Ballard,99,2
1618842,Private Studio - Industrial Ballard,Ballard,99,2
5470629,Ballard Garden Apartment,Ballard,99,2
888967,Spacious Room in Zero-Energy House,Ballard,99,2
3303978,Private 1BR apartment with kitchen,Ballard,98,3
4672934,Modern 3BR Freestanding Townhouse,Ballard,98,3
6481764,Beautiful Craftsman home in Ballard,Ballard,98,3
3510818,Charming 1940 Ballard House,Ballard,98,3
7873789,"Piano, 2 bedrooms, REAL BEDS!!",Ballard,98,3
260613,Modern & New MIL Apt. in N. Ballard,Ballard,98,3
1266459,Pretty Condo in Downtown Ballard,Ballard,98,3
6813483,Victorian Charm in Heart of Ballard,Ballard,98,3
2650482,Modern family home in Old Ballard,Ballard,98,3
7038750,Ballard  Bungalow - Basement,Ballard,100,1
5549211,Plum Apartment,Ballard,98,3
25002,"Beautiful, Quiet, Friendly Ballard",Ballard,98,3
7134759,Master in Modern Townhouse,Ballard,98,3
1198799,A Friendly Place in Ballard,Ballard,98,3
1579615,"Ballard, Seattle Cozy Studio Apt.",Ballard,98,3
1023693,Cozy Hip Vintage MIL Apt in Ballard,Ballard,98,3
3772674,Cozy Ballard Apartment,Ballard,98,3
1175308,Seattle urban farm-like home for su,Ballard,100,1
2441908,Cozy Ballard Cottage - Sleeps 5,Ballard,98,3
1179538,Townhome Top Floor 2 Bedrms+Balcony,Ballard,100,1
7534398,Private bedroom in heart of Ballard,Ballard,100,1
9387189,Party Central Studio on Ballard Ave,Ballard,100,1
8255615,Quiet Backyard Private Apartment,Ballard,100,1
2406966,Renovated 2 bedroom in old Ballard,Ballard,100,1
4532538,Classic old Ballard home,Ballard,100,1
5968862,Charming Craftsman in Ballard,Ballard,100,1
4053092,Private bed/bath in Ballard,Ballard,98,3
5457260,Glam 70's Private Room in Seattle,Ballard,100,1
7724630,Artist's Retro Duplex,Ballard,100,1
8594406,"Renovated house, chef's kitchen",Ballard,100,1
4872699,Large Home in Historical Ballard,Ballard,100,1
5919096,Ballard Victorian 900 sq ft apt,Ballard,100,1
2158992,Lovely home in Ballard neighborhood,Ballard,100,1
9367465,Crow's Nest Cottage,Ballard,100,1
3992155,Downtown Seattle Studio - Belltown,Belltown,98,3
4242626,Centennial Tower - 3 Bdr Water View,Belltown,100,1
3543084,1 Bedroom Elliott Bay Oasis,Belltown,100,1
4110396,Private room W/ views in downtown,Belltown,98,3
7035498,Hip Flat - Great dining steps away!,Belltown,98,3
5900224,Walk to the best spots in Seattle,Belltown,98,3
5270886,"Walk To Space Needle, Pike Place S7",Belltown,98,3
5874421,Great Location. 98 Walkscore 2,Belltown,98,3
19619,1 Bedroom Cosmopolitan Water View,Belltown,98,3
8027776,Beautiful & clean downtown studio,Belltown,98,3
8487843,A Quiet Retreat in the City Center!,Belltown,98,3
7347229,Downtown 1BD with Cool Ocean Views,Belltown,98,3
5847934,Belltown Court Sunset Suite,Belltown,98,3
4677524,Charming Suite Near Space Needle!,Belltown,98,3
6315435,2 Bedroom Gateway City Oasis,Belltown,100,1
2068301,Hip Belltown studio w/city view,Belltown,99,2
9863484,Belltown *All The Things,Belltown,100,1
6490091,Master Bedroom - Private bathroom,Belltown,100,1
8815638,Belltown Condos 1BD 2,Belltown,100,1
8890682,Belltown Apt near Pike's Place,Belltown,100,1
2489283,2 Bedroom 2 Bathroom Rooftop Oasis,Belltown,100,1
4257097,Metropolitan Tower Upscale 1 Bdrm,Belltown,100,1
6855839,Downtown Hi-Rise. 98 Walkscore (A1),Belltown,99,2
6854552,Downtown Hi-Rise. 98 Walkscore (A2),Belltown,99,2
6033201,Modern Condo Style with Great Views,Belltown,99,2
8637174,Charming Belltown Corner Studio,Belltown,99,2
6973790,"Downtown, A/C, Hottub, Parking S1",Belltown,98,3
7922581,4* FlashSale CapHill WalkScore,Belltown,99,2
6263270,Modern Condo in Belltown,Belltown,100,1
8891577,Sky High Penthouse. 99 Walkscore,Belltown,100,1
6187841,Best Location Downtown - Beautiful!,Belltown,100,1
8054892,2 Bedroom Poet's Paradise Oasis,Belltown,100,1
4464824,Penthouse Suite Top Floor,Belltown,100,1
8811781,Beautiful Belltown Apartment! CT3,Belltown,100,1
1055661,1 Bedroom Northwest City Oasis,Belltown,100,1
7807090,Walk to Pike Place Market! AH2,Belltown,100,1
6545773,Charming Studio in perfect location,Belltown,100,1
5446156,Downtown with Amazing Dining! V62,Belltown,100,1
4243163,Centennial Tower 3 Bdr Penthouse,Belltown,100,1
9652574,Sunny apartment room in downtown,Belltown,100,1
4661374,*Charming Vintage Belltown Studio*,Belltown,100,1
6766708,100 Walk Score - Lux 2Bed,Belltown,100,1
9263252,Luxury Studio with Amazing Views 25,Belltown,100,1
8668410,Stay In The Heart of Seattle! OP3,Belltown,100,1
8409750,"2BR VIEW! 98% Walk Score, FREE pkg!",Belltown,100,1
8571518,Views and Style in Belltown,Belltown,100,1
3820186,Olympus Penthouse- Elliott Bay View,Belltown,100,1
9031119,Belltown Condos 1BD 5,Belltown,100,1
3673759,Cozy 1 BD in Belltown,Belltown,98,3
4311244,Metropolitan Tower Classic 2 Bdrm,Belltown,100,1
8815061,Belltown Condos 1BD 3,Belltown,100,1
8829474,Belltown Condos 1BD 4,Belltown,100,1
271509,2 Bedroom Harbor and City Oasis,Belltown,100,1
9374358,Beautiful Studio - Free Parking!!,Belltown,100,1
8829472,Belltown Condos 1BD,Belltown,100,1
8956628,"Clean, Walk everywhere Downtown",Belltown,100,1
6327662,Cute Bungalow w/ Private Apartment,Bitter Lake,100,1
9679741,Room in quiet Greenwood home,Bitter Lake,100,1
9154462,Charming Bungalow Home,Bitter Lake,100,1
5309974,North Seattle hideaway,Bitter Lake,100,1
2630912,Two rooms for Family of 4 for $130!,Bitter Lake,100,1
1594219,Great Seattle Queen bed guestroom!,Bitter Lake,99,2
7066118,North Seattle Charmer,Bitter Lake,98,3
2586350,Seattle Home Close to Light Rail,Brighton,94,2
6107518,Lightrail to airport/downtown,Brighton,97,1
6482409,Seattle Tiny House Near Light Rail,Brighton,97,1
9797000,"Lightrail, ethnic eateries, parks!",Brighton,90,3
1920477,Comfy & Cozy townhome,Broadview,98,2
451012,Spacious house near Ballard,Broadview,98,2
2297917,Carkeek Retreat,Broadview,96,3
8457402,Private Serenity for Travelers,Broadview,100,1
7860837,1 Bedroom Carriage House,Broadview,100,1
8051134,In-City Park - Private Apt Sleeps 4,Broadview,100,1
8799588,Country in the City,Broadview,100,1
689309,Elegance and Coziness in Broadview,Broadview,100,1
890677,"Quiet, central location in Seattle",Broadway,98,1
752483,Beautiful Capitol Hill Townhouse,Broadway,95,2
7369,launchingpad/landingpad,Broadway,94,3
7327623,Charming Loft near the University,Bryant,99,2
3317940,Rosie's Roost A Cozy Urban FarmStay,Bryant,98,3
202260,Cozy Seattle Apartment Near UW,Bryant,98,3
