NEIGHBOURHOOD,PROPERTY_TYPE,MEDIAN_PRICE
Alki,House,235.00000
Alki,Townhouse,234.00000
Alki,Loft,225.00000
Alki,Apartment,100.00000
Arbor Heights,House,100.00000
Atlantic,Loft,170.00000
Atlantic,Townhouse,137.00000
Atlantic,Condominium,120.00000
Atlantic,House,115.00000
Atlantic,Cabin,95.00000
Atlantic,Apartment,87.50000
Atlantic,Bungalow,70.00000
Ballard,Loft,115.00000
Ballard,Condominium,107.50000
Ballard,Apartment,99.50000
Ballard,House,95.00000
Ballard,Cabin,89.00000
Ballard,Bungalow,85.00000
Ballard,Bed & Breakfast,84.50000
Ballard,Townhouse,77.00000
Ballard,Boat,75.00000
Ballard,Camper/RV,75.00000
Belltown,House,170.00000
Belltown,Loft,157.00000
Belltown,Condominium,155.00000
Belltown,Apartment,139.00000
Belltown,Bed & Breakfast,90.00000
Bitter Lake,House,77.00000
Bitter Lake,Apartment,64.00000
Brighton,House,105.00000
Brighton,Apartment,57.50000
Broadview,House,112.50000
Broadview,Apartment,83.00000
Broadway,Apartment,175.00000
Broadway,House,147.00000
Broadway,Condominium,85.00000
Bryant,House,95.00000
Bryant,Loft,94.00000
Bryant,Apartment,85.00000
Bryant,Townhouse,84.50000
Bryant,Bungalow,79.00000
Capitol Hill,Townhouse,235.00000
Capitol Hill,Cabin,154.50000
Capitol Hill,Loft,150.00000
Capitol Hill,Condominium,110.00000
Capitol Hill,Apartment,110.00000
Capitol Hill,Bed & Breakfast,99.00000
Capitol Hill,House,89.50000
Cedar Park,House,99.50000
Cedar Park,Bed & Breakfast,92.00000
Cedar Park,Apartment,70.00000
Central Business District,Apartment,147.00000
Central Business District,Other,132.00000
Central Business District,Condominium,110.00000
Columbia City,Cabin,92.00000
Columbia City,House,90.00000
Columbia City,Apartment,90.00000
Columbia City,Loft,87.50000
Columbia City,Townhouse,69.00000
Crown Hill,Boat,150.00000
Crown Hill,House,75.00000
Crown Hill,Bed & Breakfast,65.00000
Dunlap,,120.00000
Dunlap,Apartment,70.00000
Dunlap,House,68.00000
Dunlap,Treehouse,48.00000
Eastlake,Condominium,129.00000
Eastlake,House,115.00000
Eastlake,Apartment,100.00000
Fairmount Park,House,370.00000
Fauntleroy,House,147.00000
Fauntleroy,Apartment,83.50000
First Hill,Condominium,140.00000
First Hill,Apartment,129.00000
First Hill,Bed & Breakfast,99.00000
Fremont,Bed & Breakfast,185.00000
Fremont,House,129.00000
Fremont,Other,120.00000
Fremont,Condominium,112.00000
Fremont,Apartment,102.50000
Fremont,Loft,102.00000
Fremont,Cabin,85.00000
Fremont,Camper/RV,82.00000
Fremont,Townhouse,81.50000
Gatewood,House,95.00000
Gatewood,Apartment,80.00000
Gatewood,Townhouse,45.00000
Genesee,Townhouse,114.50000
Genesee,House,110.00000
Genesee,Apartment,87.00000
Georgetown,Loft,99.00000
Georgetown,Other,75.00000
