NEIGHBOURHOOD,SECURITY_DEPOSIT_PERCENTAGE
Fairmount Park,100.000000
Windermere,90.000000
Riverview,87.500000
Portage Bay,78.571400
Alki,73.913000
North Beach/Blue Ridge,72.727300
Pioneer Square,71.428600
Arbor Heights,66.666700
South Lake Union,66.666700
University District,65.420600
Columbia City,63.934400
Magnolia,63.636400
Seward Park,62.500000
First Hill,61.904800
Green Lake,61.538500
Bitter Lake,61.538500
Harrison/Denny-Blaine,61.538500
Brighton,60.000000
Fauntleroy,60.000000
Wallingford,58.741300
Genesee,58.620700
North Admiral,58.333300
Phinney Ridge,57.142900
Georgetown,57.142900
Haller Lake,57.142900
North Beacon Hill,56.842100
Bryant,56.250000
Queen Anne,56.149700
North Delridge,55.555600
Seaview,55.555600
Leschi,54.545500
Pike Place Market,53.846200
The Junction,52.777800
Roosevelt,51.851900
Eastlake,51.219500
Minor,50.000000
Holly Park,50.000000
South Beacon Hill,50.000000
Rainier Beach,50.000000
Fremont,50.000000
South Park,50.000000
Madison Park,50.000000
Capitol Hill,48.717900
Wedgewood,46.666700
Dunlap,46.153800
Ballard,46.009400
Ravenna,45.762700
Greenwood,45.569600
Madrona,45.000000
Laurelhurst,44.444400
Atlantic,44.000000
Central Business District,43.209900
Crown Hill,42.857100
South Delridge,42.857100
Interbay,42.857100
Lower Queen Anne,42.168700
Westlake,41.666700
Mount Baker,41.304300
Belltown,41.176500
,39.182700
Broadview,37.500000
High Point,36.363600
International District,35.294100
Mathews Beach,35.294100
Meadowbrook,33.333300
Highland Park,33.333300
View Ridge,33.333300
Pinehurst,33.333300
Maple Leaf,31.707300
Stevens,28.571400
Gatewood,27.777800
Cedar Park,25.000000
Olympic Hills,25.000000
Yesler Terrace,25.000000
Victory Heights,23.076900
Broadway,20.000000
Licton Springs,16.666700
Montlake,15.789500
Roxhill,0.000000
Industrial District,0.000000
Pike Market,0.000000
North College Park,0.000000
